date,mode,issue_hour,subset,points,clipped_probability_mean,center_to_scenario_mean_abs_kw,scale_to_scenario_std_abs_kw,clipping_mean_increase_kw,clipping_variance_change_kw2,joint_covariance_before_kw2,joint_covariance_after_kw2,correlation_defined_points,joint_correlation_before,joint_correlation_after
2025-02-01,pooled,0,all,144,0.2353515625,42.38751858775558,219.0341954391944,0.4800550094123312,-38.05621337900564,-7106.786295581649,-6972.03682762744,143,-0.10623135951650114,-0.011574410433347492
2025-02-01,pooled,0,daylight,71,0.04357394366197183,78.16477091305696,225.86516585466865,0.2685344490993839,-19.836620488876875,-13946.246635078594,-13847.569037008516,71,-0.10479505301283883,-0.08621196670696152
2025-02-01,pooled,0,zero_pv,73,0.421875,7.590464956298111,212.39037489811668,0.6857804858810878,-55.77663934063773,-454.70843113941396,-284.8753637088596,72,-0.10764771731872368,0.06202651311424413
2025-02-01,exponential,0,all,144,0.23546006944444445,42.82876468329712,144.8655776122703,0.4489694020255926,-38.47585874130966,-7349.216274840285,-7213.07425510304,143,-0.1071332805913677,-0.011804635525753397
2025-02-01,exponential,0,daylight,71,0.04357394366197183,78.95554523123148,195.50256947252703,0.2668107806942653,-20.49797470570441,-14442.646559691331,-14340.438371509013,71,-0.10603565562681934,-0.0876043605952575
2025-02-01,exponential,0,zero_pv,73,0.4220890410958904,7.6917589448952475,95.61590059750007,0.6261373761971577,-55.96119800881611,-450.1265457385816,-280.98038846161035,72,-0.10821566076474182,0.06294231558445201
2025-02-01,binned,0,all,144,0.2357855902777778,42.20051209907425,138.01493692046304,0.45395034096123243,-38.83978954078259,-6361.408169464358,-6222.336416988594,143,-0.10618090110258836,-0.010558384284024929
2025-02-01,binned,0,daylight,71,0.043133802816901406,77.71645511767203,182.6428950546047,0.26964030771936626,-20.919904919008772,-12428.46801806723,-12324.251611960704,71,-0.10374546176518867,-0.08524427679854786
2025-02-01,binned,0,zero_pv,73,0.4231592465753425,7.657608615232597,94.60966257081843,0.6332107842512666,-56.26871841949411,-460.56913863142785,-287.5969807828406,72,-0.10858251489363528,0.0630902041677963
2025-02-01,pooled,6,all,108,0.20703125,62.10374577894122,152.5051060305304,0.16159421854536055,-0.12507406838685498,-13594.341141127423,-13562.256830719467,107,-0.16058578856278694,-0.07179417383880576
2025-02-01,pooled,6,daylight,68,0.025505514705882353,90.34525564521793,119.35200914275427,0.020777968236323323,-0.01743176496972864,-22258.26120171261,-22253.534944079904,68,-0.12503195208654957,-0.11593322002418874
2025-02-01,pooled,6,zero_pv,40,0.515625,14.093179006270821,208.86537073974986,0.4009818440707239,-0.30806598419596976,1134.3229618673934,1212.9159619932723,39,-0.2225770931880213,0.005166214381862009
2025-02-01,exponential,6,all,108,0.20703125,63.299836939142374,109.85062783448646,0.12254044571438925,-0.06937173419602959,-13444.569263152076,-13420.593243371948,107,-0.16035800321734814,-0.0710178914513347
2025-02-01,exponential,6,daylight,68,0.025505514705882353,92.17577547694246,116.04658301068783,0.01567175960491793,-0.009788369252122611,-22027.912501435592,-22024.384010571695,68,-0.12414422568591087,-0.1148627184949423
2025-02-01,exponential,6,zero_pv,40,0.515625,14.210741424882219,99.31750403494416,0.30421721210049046,-0.17066345460067148,1147.1142419299106,1205.8510608676183,39,-0.2234999742978028,0.0054294992913657275
2025-02-01,binned,6,all,108,0.20703125,64.26316762987373,106.15245957509809,0.12226537735379236,-0.06894558171869351,-13116.897870394176,-13092.974238531888,107,-0.15836220660152192,-0.06897489705779242
2025-02-01,binned,6,daylight,68,0.025505514705882353,93.7527887953015,113.6669763689299,0.015664689941523476,-0.009777444438523016,-21523.829933920446,-21520.303237578803,68,-0.12167622805999972,-0.11239282614573681
2025-02-01,binned,6,zero_pv,40,0.515625,14.130811648646567,93.37778102558403,0.3034865459546494,-0.16953141509498337,1174.8866376004808,1233.4850598478633,39,-0.22232750252007355,0.006728158787854223
2025-02-01,pooled,12,all,72,0.2727864583333333,29.074870921184186,158.7538783365242,0.17225330731112398,-2.6651612631907313,4605.1470031031295,4592.226859018883,71,-0.05187102100899551,0.011093403654491876
2025-02-01,pooled,12,daylight,35,0.04285714285714286,56.71118796058142,102.3576855115061,0.027866403736222265,-0.26031117338439586,9434.533495285772,9432.09515469994,35,0.031326431828008316,0.04113648953105595
2025-02-01,pooled,12,zero_pv,37,0.49028716216216217,2.932408856889505,212.10162830613595,0.30883551339549037,-4.940019456250778,36.808429416846884,13.973065807072242,36,-0.13275743348941588,-0.018115152058834294
2025-02-01,exponential,12,all,72,0.2727864583333333,29.76721707915312,85.66754230542574,0.13526429500274315,-2.533898784833708,4909.148031389711,4891.775939791583,71,-0.05243027842227009,0.012670105491037986
2025-02-01,exponential,12,daylight,35,0.04285714285714286,58.086367801461826,93.19735067134586,0.021618061363070696,-0.23868975937306144,10067.645993682716,10064.572407450429,35,0.03409903721842892,0.044311444918070486
2025-02-01,exponential,12,zero_pv,37,0.49028716216216217,2.9788312607529948,78.54475060793371,0.24276748898621708,-4.705042457566753,29.487796788223832,-1.4099079938109558,36,-0.13655600196183856,-0.01809230784079917
2025-02-01,binned,12,all,72,0.2727864583333333,29.70995870505592,62.16953942259728,0.13619032882135584,-2.624464196908847,4370.2784432739345,4351.452034835439,71,-0.057710907226410826,0.007258069879688048
2025-02-01,binned,12,daylight,35,0.04285714285714286,57.89059916168318,50.55410591588698,0.021928288669237066,-0.26078486332976786,8988.764263820884,8985.12101064924,35,0.0238100158468131,0.03395413345692126
2025-02-01,binned,12,zero_pv,37,0.49028716216216217,3.0525961109490507,73.1571116586746,0.24427604247876553,-4.860377080024191,1.440504918715202,-31.748347691128707,36,-0.13696736021426742,-0.018696436375955347
2025-02-01,pooled,18,all,36,0.5269097222222222,0.02316778596247473,214.80711007307568,0.3034261551729708,-0.25104256083384574,-55.85274133171825,0.6223383445111035,36,-0.20191267723125472,0.058145439412423255
2025-02-01,pooled,18,daylight,3,0.4791666666666667,0.03896954402478576,214.770149763792,0.2898063517840488,-0.26458859132252516,-59.328535023819704,0.8733304803392725,3,-0.17905767672868877,0.06550336720465376
2025-02-01,pooled,18,zero_pv,33,0.53125,0.021731262502264637,214.81047010119232,0.3046643191174183,-0.249811103516693,-55.53676008698175,0.5995208776176336,33,-0.20399040454966982,0.05747653688585684
2025-02-01,exponential,18,all,36,0.5269097222222222,0.02315581676051092,52.26364154856801,0.23366342361225736,-0.14033556671449718,-42.4802536194308,0.6376568387566137,36,-0.20507864925543887,0.05876288900899709
2025-02-01,exponential,18,daylight,3,0.4791666666666667,0.03856570197178035,48.82524321297473,0.22133073152919602,-0.15018800923128775,-45.006265186020464,0.9759491104594648,3,-0.1795734610277365,0.06718042434865208
2025-02-01,exponential,18,zero_pv,33,0.53125,0.021754918104940978,52.57622321544013,0.23478457743799022,-0.1394398901220617,-42.250616204286295,0.6069029958745363,33,-0.20739730273068455,0.057997658523573914
2025-02-01,binned,18,all,36,0.5269097222222222,0.02312704423390345,66.80901039971852,0.23506366221984232,-0.14285012435815986,-42.74234050959716,0.6295574336803792,36,-0.2044862034368833,0.058739823605395286
2025-02-01,binned,18,daylight,3,0.4791666666666667,0.038255722200262514,66.77266288713368,0.22311991689323363,-0.15333460507192098,-45.432544573187535,0.8632610351963569,3,-0.17947272958316254,0.06565743870730455
2025-02-01,binned,18,zero_pv,33,0.53125,0.021751709873325354,66.8123147190444,0.236149457249534,-0.141896989747818,-42.497776503816226,0.6083116517243812,33,-0.20676015560540337,0.058110949505221714
2025-02-02,pooled,0,all,144,0.2532552083333333,39.252863562629905,206.59969421209672,0.1880123112653863,-1.1383664118854653,-9547.66000925808,-9512.054098290895,80,-0.12750583577390354,-0.10576061133451489
2025-02-02,pooled,0,daylight,71,0.040492957746478875,70.75857292055672,199.30823651494188,0.02963911419150988,-0.25869664978223345,-19350.404023878113,-19344.88007772426,71,-0.13271307185159878,-0.11784463196530974
2025-02-02,pooled,0,zero_pv,73,0.4601883561643836,8.610324324098334,213.691385944946,0.34204651663860863,-1.9939356325612112,-13.484323805712112,51.37938855525587,9,-0.08642652893875197,-0.010431115247133324
2025-02-02,exponential,0,all,144,0.2542317708333333,40.421321176354716,129.87499323804403,0.1570858492065197,-0.879569804880224,-9666.234689111758,-9635.853905099764,80,-0.12863154314377365,-0.10552727887723443
2025-02-02,exponential,0,daylight,71,0.040492957746478875,72.95569366119942,164.65895040511765,0.022627849310914227,-0.13622690499504728,-19581.122926950415,-19576.768008007723,71,-0.1330900357881875,-0.11698095869162195
2025-02-02,exponential,0,zero_pv,73,0.4621147260273973,8.778301362327673,96.04402119883548,0.2878600682830674,-1.6025471458644371,-22.987224912515117,32.70638676962254,9,-0.09345899006006414,-0.015170471452621495
2025-02-02,binned,0,all,144,0.2531467013888889,40.231048581797126,122.20163216069926,0.1566625667494011,-0.8199260755281595,-9456.91848999919,-9425.972284937698,80,-0.12843545977459997,-0.10513478216602248
2025-02-02,binned,0,daylight,71,0.03939260563380282,72.65079898274142,150.29465692219998,0.02178301302652661,-0.07637643480807692,-19147.000276573483,-19142.658534458562,71,-0.1325398544048227,-0.1163090875259061
2025-02-02,binned,0,zero_pv,73,0.4610445205479452,8.699510520604743,94.87827931047258,0.2878467902332927,-1.5431044932148155,-32.31839620775679,24.503382404513143,9,-0.09605634658062064,-0.016981928771385307
2025-02-02,pooled,6,all,108,0.17650462962962962,38.10324379228037,165.8272688888924,0.126734876397762,-0.49308939980114963,41788.37444977613,41819.18490310289,75,0.1086986498062926,0.12495754945227565
2025-02-02,pooled,6,daylight,68,0.021139705882352942,52.227717886132474,139.8765131496409,0.01625421503126517,-0.11033476936770054,66811.83025581502,66816.09450278993,68,0.12979403870430115,0.14840334229712368
2025-02-02,pooled,6,zero_pv,40,0.440625,14.091637832731788,209.94355364562006,0.3145520007208066,-1.1437722715380132,-751.5004204899656,-675.5614163650415,7,-0.09622798520293312,-0.10280158104053412
2025-02-02,exponential,6,all,108,0.17708333333333334,39.13637720822765,121.99800325842945,0.1011826060222354,-0.7035786377010121,43912.0132214794,43931.478727452406,75,0.11042347567659368,0.12661047641742204
2025-02-02,exponential,6,daylight,68,0.021139705882352942,53.69262571337983,135.2068278926371,0.013733596224195094,-0.2511066211317989,70149.533221103,70151.29150921784,68,0.13160520498432304,0.1502955220709947
2025-02-02,exponential,6,zero_pv,40,0.4421875,14.39075474946894,99.54300138027631,0.24984592267890396,-1.4727810658686749,-691.7707778807346,-642.2030015488562,7,-0.09534189474134926,-0.1034728242172838
2025-02-02,binned,6,all,108,0.17708333333333334,40.201899648521014,121.9991807773651,0.1035922825960099,-0.9674997543989731,48318.20279504136,48336.91952881676,75,0.11862282293862991,0.1346985731197678
2025-02-02,binned,6,daylight,68,0.021139705882352942,55.30901816690748,138.53992575489588,0.014375075423561477,-0.3382814456134799,77103.23895789808,77104.2009695343,68,0.14017231934038768,0.1588282715333599
2025-02-02,binned,6,zero_pv,40,0.4421875,14.519798167264032,93.87991431556274,0.2552615347891722,-2.037170879334312,-616.3586818150258,-567.4589204030569,7,-0.09071514210701678,-0.09970421146941257
2025-02-02,pooled,12,all,72,0.271484375,30.72387915782742,157.847504151745,0.18178410157761654,-0.1500016174533971,3383.438840930136,3428.0654479581563,40,0.005307628204617174,0.04044345726106789
2025-02-02,pooled,12,daylight,35,0.04285714285714286,60.20677135431357,98.74346589324499,0.029842197457505992,-0.027013654007027,5938.021775326773,5946.3839025096695,35,-0.0014609989492799743,0.020491267406650974
2025-02-02,pooled,12,zero_pv,37,0.4877533783783784,2.8346568097999767,213.7567295314072,0.3255129297993427,-0.266341582875639,966.9414705549398,1045.872315274293,5,0.052688018281897196,0.18010878624198629
