mode,issue_hour,lead_hour_bin,subset,points,independent_days,crps,coverage,width,interval_score,mae,raw_mae,center_mae,rmse,raw_rmse,center_rmse
binned,0,7,zero_pv,289,125,17.8694114388324,0.8166089965397924,62.23632228895681,133.0487201448842,29.194092323013418,78.31672156862749,206.96647284881686,49.116721084157994,116.6642848940743,233.60801696596613
binned,0,8,all,2004,334,118.69077966353147,0.8383233532934131,625.437736276572,897.9740241804647,165.34238662973263,201.85281169328007,158.60718804641527,218.33537712134745,257.37408059552297,211.71125107636544
binned,0,8,daylight,2004,334,118.69077966353147,0.8383233532934131,625.437736276572,897.9740241804647,165.34238662973263,201.85281169328007,158.60718804641527,218.33537712134745,257.37408059552297,211.71125107636544
binned,0,9,all,2004,334,209.56961489607494,0.8328343313373253,1103.1357713166674,1567.5183727992269,293.97575876532846,314.56781916999324,280.36457180363067,368.23924787128277,397.0821787847505,355.187128127611
binned,0,9,daylight,2004,334,209.56961489607494,0.8328343313373253,1103.1357713166674,1567.5183727992269,293.97575876532846,314.56781916999324,280.36457180363067,368.23924787128277,397.0821787847505,355.187128127611
binned,0,10,all,2004,334,301.8720419105487,0.8458083832335329,1584.8704930555677,2281.6295243724585,417.9275564580085,425.17593789088477,399.5289101709954,522.8632925130972,539.4269296543278,504.8476415807603
binned,0,10,daylight,2004,334,301.8720419105487,0.8458083832335329,1584.8704930555677,2281.6295243724585,417.9275564580085,425.17593789088477,399.5289101709954,522.8632925130972,539.4269296543278,504.8476415807603
binned,0,11,all,2004,334,375.50097612900856,0.8343313373253493,2001.067850954238,2922.366461020006,519.8803429150167,509.6048268712569,497.5360046248741,651.3665449757617,647.9491001642849,627.5619117884147
binned,0,11,daylight,2004,334,375.50097612900856,0.8343313373253493,2001.067850954238,2922.366461020006,519.8803429150167,509.6048268712569,497.5360046248741,651.3665449757617,647.9491001642849,627.5619117884147
binned,0,12,all,2004,334,432.43061753051313,0.8363273453093812,2282.3713340233717,3364.694623908137,594.6714951883134,576.7365724966729,576.8586423809421,743.4998193271596,729.4101160053109,722.4049470401993
binned,0,12,daylight,2004,334,432.43061753051313,0.8363273453093812,2282.3713340233717,3364.694623908137,594.6714951883134,576.7365724966729,576.8586423809421,743.4998193271596,729.4101160053109,722.4049470401993
binned,0,13,all,2004,334,460.73712625359155,0.8473053892215568,2438.709390734146,3587.5780412391105,637.1973409213787,616.2301666500337,619.8471436802563,795.5852372995195,781.0203380276756,780.6995657483251
binned,0,13,daylight,2004,334,460.73712625359155,0.8473053892215568,2438.709390734146,3587.5780412391105,637.1973409213787,616.2301666500337,619.8471436802563,795.5852372995195,781.0203380276756,780.6995657483251
binned,0,14,all,2004,334,442.398345200947,0.8502994011976048,2346.5207943555783,3381.5976104958195,617.0680253809352,587.716743745842,588.7531571683945,771.8875731964121,739.2940498631875,742.1396895352742
binned,0,14,daylight,2004,334,442.398345200947,0.8502994011976048,2346.5207943555783,3381.5976104958195,617.0680253809352,587.716743745842,588.7531571683945,771.8875731964121,739.2940498631875,742.1396895352742
binned,0,15,all,2004,334,411.54725406106655,0.8483033932135728,2163.9405816570143,3039.4857466572544,573.8028722190668,550.5659089654025,552.7924923465631,718.935669793743,684.0182579049906,689.5896158786766
binned,0,15,daylight,2004,334,411.54725406106655,0.8483033932135728,2163.9405816570143,3039.4857466572544,573.8028722190668,550.5659089654025,552.7924923465631,718.935669793743,684.0182579049906,689.5896158786766
binned,0,16,all,2004,334,321.48646385750357,0.8522954091816367,1700.5029665911059,2471.422724252347,446.3089679555119,429.4696538838987,430.0234475398443,568.7893872303282,538.0911125318991,542.6929361399478
binned,0,16,daylight,2004,334,321.48646385750357,0.8522954091816367,1700.5029665911059,2471.422724252347,446.3089679555119,429.4696538838987,430.0234475398443,568.7893872303282,538.0911125318991,542.6929361399478
binned,0,17,all,2004,334,198.58139709065804,0.8592814371257484,1072.1639524990037,1570.731205865074,275.99830201580687,290.82447180638707,286.3995530044092,369.79311213938155,361.3861819742332,367.6128114892955
binned,0,17,daylight,1984,334,200.5058175360694,0.858366935483871,1082.2889471342082,1585.8816520046744,278.59917475604453,292.44828040154556,288.80749988886504,371.6457976751209,362.96659614749177,369.4229935476452
binned,0,17,zero_pv,20,20,7.678888905851681,0.95,67.76448468670914,67.806948816726,17.991726184228902,129.74265916666758,47.531222066389184,21.9215400013088,130.52989979777584,52.81680887423375
binned,0,18,all,2004,334,96.3110377312484,0.8088822355289421,481.2785977784284,777.3463655643815,133.58219575815934,199.8845224966732,207.09843633597666,197.93735627485617,251.9167104651863,268.8082651323021
