name,mode,gamma,total_fee_yuan,normal_fee_yuan,emergency_fee_yuan,emergency_kwh,daily_emergency_cvar90_yuan,daily_emergency_cvar95_yuan,unused_kwh,initial_kwh,terminal_kwh,runtime_s,adjust_up_kwh,adjust_down_kwh,adjusted_intervals,throughput_kwh,solver_runtime_total_s,max_solver_gap_yuan
cvar90,binned,0.8251111111111111,16717494.723489067,16057563.32637768,659931.3971113868,173185.50249964598,9636.878240959393,13088.861656926183,6029823.499985295,1213.7962865188128,6000.000000000002,216.37201960000039,203135.76876189464,975004.5095020486,9013,13420162.478067217,212.91660069999125,3.529421519488096e-07
cvar90_lambda005,binned,0.8251111111111111,16657948.991721254,15885433.008131143,772515.9835901118,202830.79179751704,10944.80290622175,14669.941025786018,5851376.025407281,1213.7962865188128,5999.999999999998,222.62981920000038,206179.8189230715,901912.2881229327,8461,13380960.955382053,218.94215879998592,2.949600457213819e-07
cvar95,binned,0.8251111111111111,16735085.604651364,16096471.351082232,638614.2535691316,167547.1359818414,9305.299986951606,12587.722058083875,6070734.165184472,1213.7962865188128,5999.999999999996,210.01087799999914,203840.09995624892,993651.3033763352,9112,13428372.191752778,206.75873190002585,1.094609615392983e-06
cvar95_lambda005,binned,0.8251111111111111,16664611.311289392,15911134.103778694,753477.2075106984,197676.16337359475,10708.761136847741,14339.888217230753,5884525.042647018,1213.7962865188128,6000.0,201.70385389999956,205008.90726564734,905676.2543781137,8431,13390729.494711187,198.3741635000024,2.949600457213819e-07
efficiency_roundtrip90,binned,0.8251111111111111,16102462.605137883,15206189.637402158,896272.9677357248,234847.41853421787,12329.957603646033,16507.36363268671,5702208.65466523,1213.7962865188128,5999.999999999998,214.84121889999915,216047.00025958262,859191.5360430733,7294,13671339.52823452,211.8489267999821,9.152499842457473e-07
global_cash_selected,pooled,0.8251111111111111,16627621.341213046,15712061.31251244,915560.0287006055,239148.39728609248,12595.554644331776,16854.47184969086,5668776.067624439,1213.7962865188128,5999.999999999998,190.60802950000016,216407.0874381982,842285.616974924,8048,13338644.862814458,187.87231509998765,4.855792212765664e-07
hourly_mean,binned,0.8251111111111111,16809365.3842021,15800083.367334725,1009282.0168673752,264050.0341500959,13055.408178952615,17070.400521966767,5849264.949332632,1213.7962865188128,5999.999999999998,194.62340250000034,213129.8365697436,795160.128765591,7472,13411487.223854586,191.8713630000002,2.440872776787728e-06
info_mask0,binned,0.8251111111111111,17039777.13852205,15777602.152183304,1262174.986338749,334064.6246018729,14878.974378838097,17898.313161315073,6369502.750532063,1213.7962865188128,6000.0,189.109109,0.0,2.0463630789890885e-12,0,13600675.276174802,186.35647769999468,2.1827872842550278e-11
info_mask1,binned,0.8251111111111111,16795006.082921233,15796992.975893274,998013.1070279579,259941.64767012701,13191.636498459944,16965.51025611067,5840619.67728183,1213.7962865188128,6000.0,234.46482209999976,268313.809170506,742645.4348751948,7464,13414230.706758874,231.3081157000106,7.045309757813811e-07
info_mask2,binned,0.8251111111111111,16802969.83895874,15739932.970591847,1063036.8683668955,279298.3091304327,13752.583159156138,17723.542996499567,5914210.429953963,1213.7962865188128,6000.000000000002,225.83400880000045,145851.7119993562,566458.9687317698,5843,13409374.93173999,222.72331009999016,9.152608981821686e-07
info_mask3,binned,0.8251111111111111,16624495.918315254,15714550.576997226,909945.3413180292,237961.84820693545,12503.591324486595,16695.14851223951,5670769.509502633,1213.7962865188128,6000.0,239.33731439999974,214991.41267905585,845019.5042660019,8023,13339676.829943536,236.1277953000099,9.152645361609757e-07
info_mask4,binned,0.8251111111111111,17041900.919686686,15778027.398097023,1263873.521589662,334351.67692136846,14896.664986250014,17907.049591336792,6366715.422768532,1213.7962865188128,5999.999999999999,172.1462066999993,1641.7379875544714,3960.149100413796,550,13607876.87531166,169.52366530001018,4.859703039983287e-07
info_mask5,binned,0.8251111111111111,16793809.121699233,15797870.91720397,995938.204495264,259717.1191937984,13167.216392507557,16988.059329276846,5840824.975970047,1213.7962865188128,6000.0,191.794621,268866.85264013876,742870.2889165741,7530,13413262.473586837,189.0839833999853,7.045309757813811e-07
info_mask6,binned,0.8251111111111111,16806213.537015162,15740585.496308398,1065628.0407067644,279811.21301815414,13776.90410677578,17770.657177729656,5914829.64858859,1213.7962865188128,6000.000000000001,197.72207960000014,146234.94525206354,566800.6517670663,5904,13408757.964380063,194.7630766999846,9.152572602033615e-07
main,binned,0.8251111111111111,16627713.367881466,15715201.13172384,912512.2361576268,238472.03798243665,12522.414063235496,16718.03747569885,5671374.386703305,1213.7962865188128,6000.000000000003,207.11330299999918,215374.19018187333,845363.3625919296,8084,13339145.563999392,204.13830969998162,9.152499842457473e-07
point_official,binned,0.8251111111111111,24015903.696459524,12048651.166913126,11967252.529546399,2869158.0294697625,72519.69174681806,80723.79380665405,3282481.3027083343,1213.7962865188128,6000.000000000002,30.67212389999986,381161.83157170424,510669.1430749823,8375,12173668.220375953,28.778007200013235,1.1968950275331736e-09
scale_exponential,exponential,0.8251111111111111,16626807.93549019,15714034.152466536,912773.7830236536,238478.24826771553,12538.49713320229,16793.46304821478,5670949.787160963,1213.7962865188128,6000.0,268.588291,216021.5151148998,843065.1680786138,8111,13340571.893201068,265.0939724999989,6.873233360238373e-07
scale_pooled,pooled,0.8251111111111111,16627621.341213046,15712061.31251244,915560.0287006055,239148.39728609248,12595.554644331776,16854.47184969086,5668776.067624439,1213.7962865188128,5999.999999999998,204.0569847000006,216407.0874381982,842285.616974924,8048,13338644.862814458,201.07199200002015,4.855792212765664e-07
