name,alpha,lambda,total_fee_yuan,emergency_fee_yuan,daily_emergency_cvar90_yuan,daily_emergency_cvar95_yuan
B3_lambda0,0.9,0.0,673947.8679159017,22240.571600810807,5921.918086737404,5967.016475690241
cvar90_lambda005,0.9,0.05,675507.5565807996,18479.151492168017,4972.26374959847,5047.313433430265
cvar95_lambda005,0.95,0.05,675521.9720091736,17725.584446254063,4947.981097158556,5024.732026814787
cvar90,0.9,0.1,677629.6563109708,15453.140164857989,4438.850030675201,4558.017032487371
cvar95,0.95,0.1,677901.3430020936,14752.00003864702,4310.644473684205,4420.258982829189
