mode,issue_hour,lead_hour_bin,release_target_points,independent_days,sigma_mean_kw,R_mean,R_p10,R_p90
pooled,0,8,2004,334,292.5699483885747,0.45506661631388184,0.372312287561385,0.5729866671004469
binned,0,8,2004,334,455.3265595405825,0.2598922350017835,0.2019965966325345,0.3403657333615839
exponential,0,8,2004,334,364.564683186773,0.3498207871769994,0.2960603682994272,0.44204301084408926
pooled,0,9,2004,334,292.5699483885747,0.45506661631388184,0.372312287561385,0.5729866671004469
binned,0,9,2004,334,455.3265595405825,0.2598922350017835,0.2019965966325345,0.3403657333615839
exponential,0,9,2004,334,374.8851981464317,0.33745154240752884,0.28282453636663596,0.4274541205098095
pooled,0,10,2004,334,292.5699483885747,0.45506661631388184,0.372312287561385,0.5729866671004469
binned,0,10,2004,334,455.3265595405825,0.2598922350017835,0.2019965966325345,0.3403657333615839
exponential,0,10,2004,334,385.50107915759924,0.32530237215440794,0.27025168676699945,0.41369437067629283
pooled,0,11,2004,334,292.5699483885747,0.45506661631388184,0.372312287561385,0.5729866671004469
binned,0,11,2004,334,455.3265595405825,0.2598922350017835,0.2019965966325345,0.3403657333615839
exponential,0,11,2004,334,396.4208658463095,0.31338536157332325,0.2578888163838255,0.3993719850086151
pooled,0,12,2004,334,292.5699483885747,0.45506661631388184,0.372312287561385,0.5729866671004469
binned,0,12,2004,334,455.3265595405825,0.2598922350017835,0.2019965966325345,0.3403657333615839
exponential,0,12,2004,334,407.6533470905849,0.3017114393173694,0.24585050220728238,0.3859734892272525
pooled,0,13,2004,334,292.5699483885747,0.45506661631388184,0.372312287561385,0.5729866671004469
binned,0,13,2004,334,565.3057346458139,0.18915596877872878,0.1253145538873112,0.265713171162449
exponential,0,13,2004,334,393.85338135356466,0.3190395988149197,0.24552501340485114,0.43106322443488715
pooled,0,14,2004,334,292.5699483885747,0.45506661631388184,0.372312287561385,0.5729866671004469
binned,0,14,2004,334,565.3057346458139,0.18915596877872878,0.1253145538873112,0.265713171162449
exponential,0,14,2004,334,405.01667176063364,0.30735182037929687,0.23423608196348547,0.41758926779984124
pooled,0,15,2004,334,292.5699483885747,0.45506661631388184,0.372312287561385,0.5729866671004469
binned,0,15,2004,334,565.3057346458139,0.18915596877872878,0.1253145538873112,0.265713171162449
exponential,0,15,2004,334,416.49981895604583,0.29590661165568466,0.22340397065714127,0.4044880664150323
pooled,0,16,2004,334,292.5699483885747,0.45506661631388184,0.372312287561385,0.5729866671004469
binned,0,16,2004,334,565.3057346458139,0.18915596877872878,0.1253145538873112,0.265713171162449
exponential,0,16,2004,334,428.31208107925806,0.28471279446757747,0.21304615145152306,0.3909003971307419
pooled,0,17,2004,334,292.5699483885747,0.45506661631388184,0.372312287561385,0.5729866671004469
binned,0,17,2004,334,565.3057346458139,0.18915596877872878,0.1253145538873112,0.265713171162449
exponential,0,17,2004,334,440.4629867970547,0.27377809260375957,0.2030938482441609,0.377898657464627
pooled,0,18,2004,334,292.5699483885747,0.45506661631388184,0.372312287561385,0.5729866671004469
binned,0,18,2004,334,565.3057346458139,0.18915596877872878,0.1253145538873112,0.265713171162449
exponential,0,18,2004,334,452.9623432789271,0.2631091412976074,0.19338830518322306,0.36503586690407325
pooled,0,19,2004,334,292.5699483885747,0.45506661631388184,0.372312287561385,0.5729866671004469
binned,0,19,2004,334,102.54637625399359,0.8666445662339314,0.8035599963798483,0.9327306523885592
exponential,0,19,2004,334,121.95979550198942,0.8224379700113725,0.7425823803089129,0.9065006050555263
pooled,0,20,2004,334,292.5699483885747,0.45506661631388184,0.372312287561385,0.5729866671004469
binned,0,20,2004,334,102.54637625399359,0.8666445662339314,0.8035599963798483,0.9327306523885592
exponential,0,20,2004,334,125.42038672071078,0.8143232537893275,0.731437260244154,0.9016725422975155
pooled,0,21,2004,334,292.5699483885747,0.45506661631388184,0.372312287561385,0.5729866671004469
binned,0,21,2004,334,102.54637625399359,0.8666445662339314,0.8035599963798483,0.9327306523885592
exponential,0,21,2004,334,128.98026386355056,0.8059336992340154,0.7202533829314776,0.8966533251283887
pooled,0,22,2004,334,292.5699483885747,0.45506661631388184,0.372312287561385,0.5729866671004469
binned,0,22,2004,334,102.54637625399359,0.8666445662339314,0.8035599963798483,0.9327306523885592
exponential,0,22,2004,334,132.64230520214437,0.7972687479381819,0.7086964528083021,0.8911921407594903
pooled,0,23,2004,334,292.5699483885747,0.45506661631388184,0.372312287561385,0.5729866671004469
binned,0,23,2004,334,102.54637625399359,0.8666445662339314,0.8035599963798483,0.9327306523885592
exponential,0,23,2004,334,136.40947326354865,0.7883286429300062,0.696756487787019,0.885748388018406
pooled,0,24,2004,334,292.5699483885747,0.45506661631388184,0.372312287561385,0.5729866671004469
binned,0,24,2004,334,102.54637625399359,0.8666445662339314,0.8035599963798483,0.9327306523885592
exponential,0,24,2004,334,140.28481731919913,0.7791144707546179,0.6841231097251639,0.8800803294611217
pooled,6,1,2004,334,292.5699483885747,0.45506661631388184,0.372312287561385,0.5729866671004469
binned,6,1,2004,334,269.25056154589083,0.49414474912137984,0.4293362355931895,0.5819393444447981
exponential,6,1,2004,334,299.9231420075275,0.441326683623107,0.38145144958037486,0.5449232966488707
pooled,6,2,2004,334,292.5699483885747,0.45506661631388184,0.372312287561385,0.5729866671004469
binned,6,2,2004,334,269.25056154589083,0.49414474912137984,0.4293362355931895,0.5819393444447981
exponential,6,2,2004,334,308.3957133417605,0.42784419188463624,0.36959115991443586,0.5306132339150165
pooled,6,3,2004,334,292.5699483885747,0.45506661631388184,0.372312287561385,0.5729866671004469
binned,6,3,2004,334,269.25056154589083,0.49414474912137984,0.4293362355931895,0.5819393444447981
exponential,6,3,2004,334,317.11027878473027,0.41446838370166006,0.35832386656494536,0.5154873367330115
pooled,6,4,2004,334,292.5699483885747,0.45506661631388184,0.372312287561385,0.5729866671004469
binned,6,4,2004,334,269.25056154589083,0.49414474912137984,0.4293362355931895,0.5819393444447981
exponential,6,4,2004,334,326.0738216898306,0.40121808670640136,0.3462064022351627,0.5003880309079193
pooled,6,5,2004,334,292.5699483885747,0.45506661631388184,0.372312287561385,0.5729866671004469
binned,6,5,2004,334,269.25056154589083,0.49414474912137984,0.4293362355931895,0.5819393444447981
exponential,6,5,2004,334,335.29352887699855,0.3881113880456228,0.3344417808907583,0.48567317643113966
pooled,6,6,2004,334,292.5699483885747,0.45506661631388184,0.372312287561385,0.5729866671004469
binned,6,6,2004,334,269.25056154589083,0.49414474912137984,0.4293362355931895,0.5819393444447981
exponential,6,6,2004,334,344.77679661422894,0.37516554246666856,0.3220343740185423,0.4705960399582163
pooled,6,7,2004,334,292.5699483885747,0.45506661631388184,0.372312287561385,0.5729866671004469
binned,6,7,2004,334,379.839120955092,0.3340988435668397,0.2640104016218231,0.4461551488515001
exponential,6,7,2004,334,333.10435647443774,0.3936294916802405,0.3214474381616436,0.5139226303601047
pooled,6,8,2004,334,292.5699483885747,0.45506661631388184,0.372312287561385,0.5729866671004469
binned,6,8,2004,334,379.839120955092,0.3340988435668397,0.2640104016218231,0.4461551488515001
exponential,6,8,2004,334,342.5287258225046,0.38073203044748555,0.3080616406892183,0.4999860466817002
pooled,6,9,2004,334,292.5699483885747,0.45506661631388184,0.372312287561385,0.5729866671004469
binned,6,9,2004,334,379.839120955092,0.3340988435668397,0.2640104016218231,0.4461551488515001
exponential,6,9,2004,334,352.2226657513757,0.3680017311845763,0.29501277020575845,0.4862838292736474
pooled,6,10,2004,334,292.5699483885747,0.45506661631388184,0.372312287561385,0.5729866671004469
binned,6,10,2004,334,379.839120955092,0.3340988435668397,0.2640104016218231,0.4461551488515001
exponential,6,10,2004,334,362.19396628670296,0.35545370257505604,0.28219634881629574,0.47243463008600806
pooled,6,11,2004,334,292.5699483885747,0.45506661631388184,0.372312287561385,0.5729866671004469
binned,6,11,2004,334,379.839120955092,0.3340988435668397,0.2640104016218231,0.4461551488515001
exponential,6,11,2004,334,372.4506447356123,0.3431020894541949,0.2695508064857237,0.45864767663037964
pooled,6,12,2004,334,292.5699483885747,0.45506661631388184,0.372312287561385,0.5729866671004469
binned,6,12,2004,334,379.839120955092,0.3340988435668397,0.2640104016218231,0.4461551488515001
exponential,6,12,2004,334,383.00095237751833,0.33096002597196766,0.2572782138412471,0.4445520320484049
pooled,6,13,2004,334,292.5699483885747,0.45506661631388184,0.372312287561385,0.5729866671004469
binned,6,13,2004,334,101.671044032397,0.868720862235931,0.809646741696056,0.9327306523885592
exponential,6,13,2004,334,103.13009092879493,0.865474876054352,0.8032508339700759,0.9314709400573529
pooled,6,14,2004,334,292.5699483885747,0.45506661631388184,0.372312287561385,0.5729866671004469
binned,6,14,2004,334,101.671044032397,0.868720862235931,0.809646741696056,0.9327306523885592
exponential,6,14,2004,334,106.05098790326134,0.8589586458249721,0.7939314839351254,0.927768747424968
pooled,6,15,2004,334,292.5699483885747,0.45506661631388184,0.372312287561385,0.5729866671004469
binned,6,15,2004,334,101.671044032397,0.868720862235931,0.809646741696056,0.9327306523885592
exponential,6,15,2004,334,109.05553996612818,0.8521850357384518,0.7841019742212822,0.9239317328198909
pooled,6,16,2004,334,292.5699483885747,0.45506661631388184,0.372312287561385,0.5729866671004469
binned,6,16,2004,334,101.671044032397,0.868720862235931,0.809646741696056,0.9327306523885592
exponential,6,16,2004,334,112.14616823646917,0.8451497151557081,0.774231672693045,0.9198827430281135
pooled,6,17,2004,334,292.5699483885747,0.45506661631388184,0.372312287561385,0.5729866671004469
binned,6,17,2004,334,101.671044032397,0.868720862235931,0.809646741696056,0.9327306523885592
exponential,6,17,2004,334,115.32536459557261,0.837848851199829,0.7635774675469844,0.9156223287684843
pooled,6,18,2004,334,292.5699483885747,0.45506661631388184,0.372312287561385,0.5729866671004469
binned,6,18,2004,334,101.671044032397,0.868720862235931,0.809646741696056,0.9327306523885592
exponential,6,18,2004,334,118.59569377420739,0.830279162047857,0.753293663167521,0.9111296326194828
pooled,12,1,2004,334,292.5699483885747,0.45506661631388184,0.372312287561385,0.5729866671004469
binned,12,1,2004,334,213.43923444119443,0.6084238354141698,0.5274910682920424,0.7458804191650453
exponential,12,1,2004,334,281.8099198050458,0.4735734712707085,0.4042411589533674,0.5965344359640864
pooled,12,2,2004,334,292.5699483885747,0.45506661631388184,0.372312287561385,0.5729866671004469
binned,12,2,2004,334,213.43923444119443,0.6084238354141698,0.5274910682920424,0.7458804191650453
exponential,12,2,2004,334,289.76852404394947,0.46003592951664973,0.3903251773333252,0.5832718619279033
pooled,12,3,2004,334,292.5699483885747,0.45506661631388184,0.372312287561385,0.5729866671004469
binned,12,3,2004,334,213.43923444119443,0.6084238354141698,0.5274910682920424,0.7458804191650453
exponential,12,3,2004,334,297.95438054290844,0.4465585042093524,0.3763063773940361,0.5694211670187472
pooled,12,4,2004,334,292.5699483885747,0.45506661631388184,0.372312287561385,0.5729866671004469
binned,12,4,2004,334,213.43923444119443,0.6084238354141698,0.5274910682920424,0.7458804191650453
exponential,12,4,2004,334,306.3740457288727,0.43316056511197604,0.3627038849650135,0.5556251676023576
pooled,12,5,2004,334,292.5699483885747,0.45506661631388184,0.372312287561385,0.5729866671004469
binned,12,5,2004,334,213.43923444119443,0.6084238354141698,0.5274910682920424,0.7458804191650453
exponential,12,5,2004,334,315.0342670249808,0.4198609970598957,0.3486760847593955,0.5419298293861605
pooled,12,6,2004,334,292.5699483885747,0.45506661631388184,0.372312287561385,0.5729866671004469
binned,12,6,2004,334,213.43923444119443,0.6084238354141698,0.5274910682920424,0.7458804191650453
exponential,12,6,2004,334,323.94198846503775,0.406678099209617,0.3350034685759028,0.5280010975898034
pooled,12,7,2004,334,292.5699483885747,0.45506661631388184,0.372312287561385,0.5729866671004469
binned,12,7,2004,334,101.40541520193297,0.8693305421655202,0.809338801767401,0.9327306523885592
exponential,12,7,2004,334,87.23430060255008,0.8994594071353946,0.854105597144449,0.9506122270834023
pooled,12,8,2004,334,292.5699483885747,0.45506661631388184,0.372312287561385,0.5729866671004469
binned,12,8,2004,334,101.40541520193297,0.8693305421655202,0.809338801767401,0.9327306523885592
exponential,12,8,2004,334,89.70039602745786,0.8943751633624781,0.8467082448257187,0.9478686685250098
pooled,12,9,2004,334,292.5699483885747,0.45506661631388184,0.372312287561385,0.5729866671004469
binned,12,9,2004,334,101.40541520193297,0.8693305421655202,0.809338801767401,0.9327306523885592
exponential,12,9,2004,334,92.23699632589825,0.8890670961650688,0.8383699072944996,0.9448651432725202
pooled,12,10,2004,334,292.5699483885747,0.45506661631388184,0.372312287561385,0.5729866671004469
binned,12,10,2004,334,101.40541520193297,0.8693305421655202,0.809338801767401,0.9327306523885592
exponential,12,10,2004,334,94.84613861988527,0.883528955257486,0.8302501053072486,0.9416212069932657
pooled,12,11,2004,334,292.5699483885747,0.45506661631388184,0.372312287561385,0.5729866671004469
