mode,issue_hour,subset,points,independent_days,clipped_probability_mean,center_to_scenario_mean_abs_kw,scale_to_scenario_std_abs_kw,clipping_mean_increase_kw,clipping_variance_change_kw2,joint_covariance_before_kw2,joint_covariance_after_kw2,correlation_defined_points,joint_correlation_before,joint_correlation_after
exponential,0,all,48096,334,0.13329980663672655,64.9859973423021,161.86754183673656,1.8272214862384282,-109.24924150760268,-8810.294471704507,-8758.411177186588,36669,-0.01490128131306856,-0.011134845304584416
exponential,0,daylight,26880,334,0.0288835797991071,111.48974639701873,195.15687073101114,1.1144433326234584,-87.19771449334915,-15727.359143553706,-15694.878478886285,26734,-0.020277978811898384,-0.019612208114408208
exponential,0,zero_pv,21216,334,0.2655918587386878,6.067220259403189,119.69101654082307,2.730288830184996,-137.18782777000533,-46.59262501773274,29.873186957822004,9935,-0.0004331755321207522,0.011676812205010883
exponential,6,all,36072,334,0.08138150781769789,58.13625239234272,132.2921935949954,1.4975805857412776,-75.3455602177216,15234.707363987472,15275.129690630463,29694,0.042391040439694994,0.0459014428261092
exponential,6,daylight,25013,334,0.016649467277015915,80.09308619802344,136.7899647917565,0.7187750473685568,-44.67360775721447,21993.597610363864,22015.51255928325,24950,0.051899683267129036,0.05241815858785044
exponential,6,zero_pv,11059,334,0.2277909960213401,8.47477450270605,122.11923483339082,3.259065614343942,-144.7186994612938,-52.40012607606687,29.88177548332602,4744,-0.007617525863947361,0.011628243362482712
exponential,12,all,24048,334,0.11101300004158349,42.08390442199896,116.00990937927673,1.6271750690694256,-67.74093502570321,1433.1950396245231,1464.0502638268886,17685,-0.0038305324336461084,0.002228787221928069
exponential,12,daylight,13278,334,0.02353399420093384,72.87330641291965,128.84779714214986,0.9600962582884105,-48.40759763497081,2609.347340039883,2626.902587946627,13219,0.004880088251725159,0.005752726902334821
exponential,12,zero_pv,10770,334,0.21886316155988858,4.124602691688379,100.18247449390724,2.4495959093247937,-91.57640892302398,-16.84676584577866,30.405587906564836,4466,-0.029613267507520483,-0.008201790170659706
exponential,18,all,12024,334,0.20635681761477045,12.315861724744618,76.56041176681212,1.7780977733177101,-59.444754060261396,79.16253960545131,68.78088318280287,5879,-0.0031466559075972894,0.006433423010651273
exponential,18,daylight,1696,334,0.14157392393867924,70.9579092899006,64.90960624719041,3.874163547689874,-158.80827091390051,503.5504644802236,455.11918397542564,1649,0.022159722406822395,0.022343252251517298
exponential,18,zero_pv,10328,334,0.21699506196746707,2.6860289719846904,78.47363467166092,1.4338948731109722,-43.1278945924291,9.472190981553801,5.338807452333447,4230,-0.013011955633478617,0.0002312224389756058
pooled,0,all,48096,334,0.13312437624750498,64.99131589771714,269.38416857504495,1.8285227124762633,-111.9456081510891,-8781.947354413482,-8732.370377173305,36676,-0.01572313480605773,-0.01106164621953697
pooled,0,daylight,26880,334,0.02874290829613091,111.53753628597786,254.27107968694995,1.115990535952724,-88.28451012092988,-15676.834131137191,-15646.864600110574,26735,-0.020399093581758856,-0.019690973915882894
pooled,0,zero_pv,21216,334,0.26537238994155354,6.018728980463766,288.53197350113817,2.7312784112391184,-141.92346990875697,-46.34419838344317,28.074792158980337,9941,-0.00314776433343229,0.012145785222149812
pooled,6,all,36072,334,0.08117272399645149,58.1404230152799,190.7231168252962,1.5060455209356514,-79.52198960056701,15379.76905978945,15417.857903810404,29694,0.041989991170893956,0.04590180638754626
pooled,6,daylight,25013,334,0.016573256906408634,80.12516325405097,147.95179844673552,0.7256614118485677,-46.43615635825867,22201.173525567858,22222.61262671659,24948,0.05179069513186311,0.05237397662720849
pooled,6,zero_pv,11059,334,0.22728236052084275,8.41582697654396,287.4623325412685,3.2711009256372723,-154.35479065761186,-48.73170000033141,27.015161785592046,4746,-0.00952875354428905,0.011879955747197891
pooled,12,all,24048,334,0.11103963947105787,42.09780783726282,210.73523211962333,1.6806201202215212,-74.73953688213507,1563.880866115623,1591.510253014143,17687,-0.003801507737066217,0.0028716577626749103
pooled,12,daylight,13278,334,0.023675205226690733,72.94443360976418,147.2489462256561,0.9930583177583557,-52.584111789412596,2845.2016655467096,2859.6728362925132,13220,0.0053819795085199755,0.006290591687285036
pooled,12,zero_pv,10770,334,0.21874854921077067,4.06795667595615,289.0055110518514,2.528293807603686,-102.05427545048876,-15.819930063208265,28.031814688218848,4467,-0.03097986040925103,-0.007246610982197674
pooled,18,all,12024,334,0.2063711119427811,12.08774399446758,289.7535549652876,1.9129883205576041,-74.56189564406489,62.56701875767873,52.032745608880525,5878,-0.005958888829809212,0.0055386377451862485
pooled,18,daylight,1696,334,0.142578125,69.71952561859476,284.14792104505943,4.198871074409232,-192.96328721794575,407.7975515505221,350.10563774512644,1649,0.018320685560970627,0.018416957768464335
pooled,18,zero_pv,10328,334,0.21684679996127032,2.6238108385303507,290.67407734413223,1.5376148551691107,-55.11875465749422,5.875405316870974,3.0850669621848277,4229,-0.015426143067311212,0.00051703696051244
