model,terminal_multiplier,cash_cost_yuan,load_mae_kw,load_rmse_kw,pv_mae_kw,pv_rmse_kw,pv_daylight_mae_kw,pv_daylight_rmse_kw
P1_weighted28,0.8,691711.7460050444,713.6935401466362,895.9090548354052,126.88827772547126,256.86191759272526,259.9915388094657,367.69483854459986
P1_weighted28,1.0,691711.7460050444,713.6935401466362,895.9090548354052,126.88827772547126,256.86191759272526,259.9915388094657,367.69483854459986
P1_weighted28,1.2,691446.4126717111,713.6935401466362,895.9090548354052,126.88827772547126,256.86191759272526,259.9915388094657,367.69483854459986
P2_fourier_arima,0.8,687320.7634104285,701.9067739210235,905.2682579931543,156.52790794738837,294.829359782886,312.1350452559965,421.7973627582964
P2_fourier_arima,1.0,687320.7634104285,701.9067739210235,905.2682579931543,156.52790794738837,294.829359782886,312.1350452559965,421.7973627582964
P2_fourier_arima,1.2,687055.4300770953,701.9067739210235,905.2682579931543,156.52790794738837,294.829359782886,312.1350452559965,421.7973627582964
P3_random_forest,0.8,622442.1189425507,109.11678007700483,138.6839453459712,119.34045009353878,254.96468187412185,244.54352244347763,364.9789912721458
P3_random_forest,1.0,622442.1189425507,109.11678007700483,138.6839453459712,119.34045009353878,254.96468187412185,244.54352244347763,364.9789912721458
P3_random_forest,1.2,622176.7856092175,109.11678007700483,138.6839453459712,119.34045009353878,254.96468187412185,244.54352244347763,364.9789912721458
